[ERROR Mon Dec 26 15:10:02 CET 2016] AccountID: 1 Modified default value of draggedAmount for draggedItem to -2
[ERROR Tue Dec 27 13:17:38 CET 2016] AccountID: 2 Tried to accept the trade whereas he's not trading.
[ERROR Tue Dec 27 13:17:38 CET 2016] AccountID: 2 Tried to close the trade whereas he's not trading.
[ERROR Tue Dec 27 16:15:04 CET 2016] AccountID: 2 Invalid tradeSlot value in CommandTrade : 7
[ERROR Thu Dec 29 21:30:05 CET 2016] AccountID: 1 tried to logout whereas he's not in-game
[ERROR Thu Dec 29 21:36:42 CET 2016] AccountID: 1 Unknown packet: 26, last packet readed: 25
[ERROR Sun Jan 01 16:42:16 CET 2017] PlayerName: Mideas PlayerID: 1 AccountID: 1 Unknown packet: 103, last packet readed: 53
[ERROR Sun Jan 01 17:28:58 CET 2017] AccountID: 1 Unknown packet: 2, last packet readed: 57
[ERROR Sun Jan 01 17:33:43 CET 2017] AccountID: 1 Unknown packet: 2, last packet readed: 57
[ERROR Mon Jan 02 17:09:09 CET 2017] AccountID: 1 Unknown packet: 2, last packet readed: 57
[ERROR Tue Jan 10 01:43:07 CET 2017] PlayerName: Mideas PlayerID: 1 AccountID: 1 Unknown packet: 2561, last packet readed: 53
[ERROR Tue Jan 10 01:58:12 CET 2017] PlayerName: Mideas PlayerID: 1 AccountID: 1 Unknown packet: 2561, last packet readed: 53
[ERROR Tue Jan 10 01:58:12 CET 2017] PlayerName: Mideas PlayerID: 1 AccountID: 1 Unknown packet: 2561, last packet readed: 53
[ERROR Wed Jan 11 02:19:24 CET 2017] PlayerName: Mideas PlayerID: 1 AccountID: 1 Unknown packet: 15, last packet readed: 15
[ERROR Tue Jan 17 05:51:30 CET 2017] PlayerName: Mideas PlayerID: 1 AccountID: 1 Unknown packet: 157, last packet readed: 15
[ERROR Tue Jan 17 06:21:43 CET 2017] AccountID: 1 Unknown packet: 2, last packet readed: 26
[ERROR Tue Jan 17 06:21:43 CET 2017] AccountID: 1 Tried to send a message in channel  whereas he hasn't joined it.
[ERROR Sat Jan 21 04:14:03 CET 2017] PlayerName: Mideas PlayerID: 1 AccountID: 1 Tried to send a message in channel BLA whereas he hasn't joined it.
[ERROR Sat Jan 21 04:48:13 CET 2017] PlayerName: Mideas PlayerID: 1 AccountID: 1 Tried to send a message in channel blaa whereas he hasn't joined it.
[ERROR Sat Jan 21 04:48:13 CET 2017] PlayerName: Mideas PlayerID: 1 AccountID: 1 Tried to send a message in channel blaa whereas he hasn't joined it.
[ERROR Sat Jan 21 04:50:13 CET 2017] PlayerName: Mideas PlayerID: 1 AccountID: 1 Tried to send a message in channel blaa whereas he hasn't joined it.
[ERROR Sat Jan 21 04:50:13 CET 2017] PlayerName: Mideas PlayerID: 1 AccountID: 1 Tried to send a message in channel blaa whereas he hasn't joined it.
[ERROR Fri Feb 03 11:25:38 CET 2017] AccountID: 1, Unknown packet: 2, last packet readed: 26
[ERROR Wed May 17 21:38:08 CEST 2017] AccountID: 1, Unknown packet: 2, last packet readed: 57
[ERROR Wed May 17 21:42:39 CEST 2017] AccountID: 1, Unknown packet: 2, last packet readed: 57
[ERROR Wed May 17 21:42:39 CEST 2017] AccountID: 1, Unknown packet: 2, last packet readed: 57
[ERROR Wed May 17 21:47:41 CEST 2017] AccountID: 1, Unknown packet: 2, last packet readed: 57
[ERROR Wed May 17 21:47:41 CEST 2017] AccountID: 1, Unknown packet: 2, last packet readed: 57
[ERROR Thu Dec 14 16:50:09 CET 2017] AccountID : 1 PlayerName: Midelol PlayerID: 2, Unknown packet: 15, last packet readed: 15
[ERROR Thu Dec 14 16:59:36 CET 2017] AccountID : 1 PlayerName: Midelol PlayerID: 2, Tried to cast a spell that doesn't exist id: -1
[ERROR Thu Dec 14 16:59:36 CET 2017] AccountID : 1 PlayerName: Midelol PlayerID: 2, Tried to cast a spell that doesn't exist id: -1
[ERROR Thu Dec 14 16:59:36 CET 2017] AccountID : 1 PlayerName: Midelol PlayerID: 2, Tried to cast a spell that doesn't exist id: -1
[ERROR Tue Jan 09 12:50:38 CET 2018] AccountID: 164, Unknown packet: 85, last packet readed: 15
[ERROR Tue Jan 09 12:50:38 CET 2018] AccountID: 101, Unknown packet: 85, last packet readed: 15
[ERROR Tue Jan 09 12:50:38 CET 2018] AccountID: 102, Unknown packet: 85, last packet readed: 15
[ERROR Tue Jan 09 12:50:38 CET 2018] AccountID: 103, Unknown packet: 85, last packet readed: 15
[ERROR Tue Jan 09 12:50:38 CET 2018] AccountID: 104, Unknown packet: 85, last packet readed: 15
[ERROR Tue Jan 09 12:58:38 CET 2018] AccountID: 32, Unknown packet: 85, last packet readed: 15
[ERROR Thu Jan 11 15:41:46 CET 2018] AccountID: 957, Unknown packet: 85, last packet readed: 15
[ERROR Thu Jan 11 15:41:46 CET 2018] AccountID: 960, Unknown packet: 85, last packet readed: 15
[ERROR Thu Jan 11 15:41:46 CET 2018] AccountID: 961, Unknown packet: 85, last packet readed: 15
[ERROR Thu Jan 11 15:41:46 CET 2018] AccountID: 962, Unknown packet: 85, last packet readed: 15
[ERROR Thu Jan 11 15:41:46 CET 2018] AccountID: 963, Unknown packet: 85, last packet readed: 15
[ERROR Thu Jan 11 15:41:46 CET 2018] AccountID: 964, Unknown packet: 85, last packet readed: 15
[ERROR Thu Jan 11 15:41:46 CET 2018] AccountID: 965, Unknown packet: 85, last packet readed: 15
[ERROR Thu Jan 11 15:41:46 CET 2018] AccountID: 966, Unknown packet: 85, last packet readed: 15
[ERROR Thu Jan 11 15:41:46 CET 2018] AccountID: 967, Unknown packet: 85, last packet readed: 15
[ERROR Thu Jan 11 15:41:46 CET 2018] AccountID: 968, Unknown packet: 85, last packet readed: 15
[ERROR Thu Jan 11 15:41:46 CET 2018] AccountID: 969, Unknown packet: 85, last packet readed: 15
